Replicate,Duration,Date,Dorm,Rail,total.source.aphids,ratio,PEMV titer,Btubulin titer,PEMV ct,PEMV,Source Species,Weevil,Ladybird,Source weevil damage,aphid.total.in.row,Plant Number,Total Aphids,Total Maternal Aphids,Height,Height Count,Top Maternal,Top Nymph,Top Total,Middle Maternal,Middle Nymph,Middle Total,Bottom Maternal,Bottom Nymph,Bottom Total,Weevil Herbivory
2,7,8.23.2017,45,B,7,0,24.25,30.61,6.36,Absent,Pea,Present,Present,Yes,0,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,No
2,7,8.23.2017,46,A,11,0.765957447,25.483,30.01,4.527,Absent,Pea,Absent,Present,No,36,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,No
2,7,8.23.2017,46,B,11,0.765957447,25.4933,30.9,5.4067,Absent,Pea,Absent,Present,No,36,5,2,0,Top,1,0,1,1,0,1,1,0,0,0,No
2,7,8.23.2017,47,A,140,0.156626506,20.293,28.5067,8.2137,Present,Pea,Present,Absent,Yes,26,5,10,3,Top,6,1,5,6,0,0,0,2,2,4,Yes
2,7,8.23.2017,47,B,140,0.267015707,23.82,30.78,6.96,Absent,Pea,Present,Absent,Yes,51,5,1,0,Top,0,0,0,0,0,0,0,0,1,1,Yes
2,7,8.23.2017,48,A,256,0.251461988,20.853,30.1333,9.2803,Present,Pea,Absent,Absent,No,86,5,5,1,Top,5,1,4,5,0,0,0,0,0,0,No
2,7,8.23.2017,48,B,256,0.155115512,30.23,34.07,3.84,Absent,Pea,Absent,Absent,No,47,5,2,0,Top,0,0,0,0,0,1,1,0,1,1,No
2,7,8.23.2017,49,A,5,0.96835443,23.43,28.05,4.62,Present,Vetch,Present,Present,Yes,153,5,44,3,Top,25,3,22,25,0,17,17,0,2,2,No
2,7,8.23.2017,49,B,5,0.964788732,30.15,34.07,3.92,Present,Vetch,Present,Present,Yes,137,5,4,0,Top,0,0,0,0,0,1,1,0,3,3,No
2,7,8.23.2017,50,A,36,0.753424658,21.5,27.56,6.06,Present,Vetch,Absent,Present,No,110,5,40,0,Top,14,0,14,14,0,12,12,0,14,14,No
2,7,8.23.2017,50,B,36,0.694915254,27.22,33.1167,5.8967,Absent,Vetch,Absent,Present,No,82,5,4,0,Top,1,0,1,1,0,2,2,0,1,1,No
2,7,8.23.2017,51,A,9,0.941935484,28.433,30.3567,1.9237,Absent,Vetch,Present,Absent,Yes,146,5,29,1,Top,2,0,2,2,1,15,16,0,11,11,No
2,7,8.23.2017,51,B,9,0.902173913,25.23,31.8067,6.5767,Present,Vetch,Present,Absent,Yes,83,5,11,0,Top,4,0,4,4,0,0,0,0,7,7,Yes
2,7,8.23.2017,52,A,50,0.83277592,17.256,24.96,7.704,Present,Vetch,Absent,Absent,No,249,5,5,0,Top,0,0,0,0,0,2,2,0,3,3,No
2,7,8.23.2017,52,B,50,0.777777778,20.8133,26.99,6.1767,Present,Vetch,Absent,Absent,No,175,5,19,0,Top,1,0,1,1,0,15,15,0,3,3,No
2,7,8.23.2017,53,A,42,0.80733945,19.5167,25.3867,5.87,Present,Vetch,Present,Present,Yes,176,5,21,2,Top,11,1,10,11,1,5,6,0,4,4,No
2,7,8.23.2017,53,B,42,0.584158416,24.7733,30.61,5.8367,Absent,Vetch,Present,Present,Yes,59,5,23,5,Top,21,5,16,21,0,1,1,0,1,1,No
2,7,8.23.2017,54,A,0,,24.05,25.913,1.863,Absent,Vetch,Absent,Present,No,0,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,No
2,7,8.23.2017,54,B,0,1,,,,Absent,Vetch,Absent,Present,No,17,5,3,3,Top,3,3,0,3,0,0,0,0,0,0,No
