Fluor,Target,Content,Treatment,location,aphid.treatment,bio.rep,tech.rep,Cq of  PR1,Cq of Beta tub,pr.1,opr.1,pr1.norm,opr1.norm
SYBR,PR 1,Unkn-35,W-A- BOT,Bottom,Control,2,3,31.63699124,24.11050039,7.52649085,4.753182111,,
SYBR,PR 1,Unkn-36,W-A- BOT,Bottom,Control,3,1,31.05113631,23.50034523,7.550791079,4.556800081,,
SYBR,PR 1,Unkn-30,W-A- BOT,Bottom,Control,3,2,28.66725331,22.73375823,5.933495072,5.492687246,,
SYBR,PR 1,Unkn-31,W-A- BOT,Bottom,Control,3,3,29.13910913,22.98559849,6.153510648,5.068618309,,
SYBR,PR 1,Unkn-32,W-A- MID,Middle,Control,1,1,28.98171424,27.85938903,1.122325208,4.486748923,,
SYBR,PR 1,Unkn-33,W-A- MID,Middle,Control,1,2,28.55359,27.95741002,0.596179973,5.797226982,,
SYBR,PR 1,Unkn-33,W-A- MID,Middle,Control,1,3,27.75454352,27.22567883,0.528864694,6.021443309,,
SYBR,PR 1,Unkn-34,W-A- MID,Middle,Control,2,1,29.871895,28.20356291,1.668332093,5.367486498,,
SYBR,PR 1,Unkn-35,W-A- MID,Middle,Control,2,2,29.75593901,28.07904158,1.676897433,4.146088132,,
SYBR,PR 1,Unkn-36,W-A- MID,Middle,Control,2,3,29.69163564,27.55412609,2.137509549,4.138469692,,
SYBR,PR 1,Unkn-30,W-A- MID,Middle,Control,3,1,30.18050064,23.30426433,6.876236313,4.161088851,,
SYBR,PR 1,Unkn-31,W-A- MID,Middle,Control,3,2,30.26849687,23.22047737,7.048019495,4.133298658,,
SYBR,PR 1,Unkn-31,W-A- MID,Middle,Control,3,3,30.4519409,23.13669042,7.315250487,5.944236871,,
SYBR,PR 1,Unkn-28,W-A- TOP,Top,Control,1,1,30.66890584,23.04339136,7.625514481,5.944236871,,
SYBR,PR 1,Unkn-28,W-A- TOP,Top,Control,1,2,29.44619805,23.49509007,5.951107986,5.24179205,,
SYBR,PR 1,Unkn-29,W-A- TOP,Top,Control,1,3,29.24113625,23.59290851,5.648227746,5.238840602,,
SYBR,PR 1,Unkn-29,W-A- TOP,Top,Control,2,1,29.56522304,23.32751615,6.237706889,4.655586614,,
SYBR,PR 1,Unkn-30,W-A- TOP,Top,Control,2,2,31.80157085,25.09308166,6.708489191,4.918580824,,
SYBR,PR 1,Unkn-30,W-A- TOP,Top,Control,2,3,31.21819182,23.27701094,7.941180872,5.203904207,,
SYBR,PR 1,Unkn-31,W-A- TOP,Top,Control,3,1,30.34066001,23.52156772,6.819092289,6.344215606,,
SYBR,PR 1,Unkn-31,W-A- TOP,Top,Control,3,2,30.37184925,23.66222079,6.70962846,6.733438764,,
SYBR,PR 1,Unkn-32,W-A- TOP,Top,Control,3,3,30.30947076,22.98389786,7.325572902,6.975660975,,
